image,nima_q,nima_a,blur,blur_stength,ci,color_fulness,contrast,count_1,count_2,count_3,count_4,count_5,cpbd,deepgaze_connected_components,deepgaze_mean_saliency,deepgaze_std_saliency,dominant_color,fft,filename,mean_depth,mean_dominant_color,mean_segmentation,mos,neg,neu,niqe,noise,num_ratings,number_segmentation,pos,rule_of_thirds,saturation,si,simplicity,std,std_depth,std_segmentation,tone,unisalconnected_components,unisalmean_saliency,unisalstd_saliency
500px_cc0/medium/252756505_Young_apple_tree.jpg,5.20345813035965,4.729773799386749,45646.69829251127,0.33663562100861005,0.4659064679748232,158.4794877307002,80.7767081136966,2,4,9,5,1,0.853211009174311,3,0.007629215542521,0.08701155447828501,"[247, 246, 246]",65216.61710137335,500px_cc0/medium/252756505_Young_apple_tree.jpg,14800.299441282765,246.33333333333334,0.32689652307564404,2.952380952380953,0.6260027,0.2877974,21.024627685546875,1.169566928173009e-30,21,8,0.08619985,3.80842308800311e-08,11.491059895833333,0.239219286303492,0.9999921321868891,1.023532631438318,13846.264163397105,1.097405902572893,0.646383138823528,11,0.057626386408008004,0.23303558955139
500px_cc0/medium/130002959_Extreme_biker.jpg,5.542929485440254,4.957448196895712,82668.09489153774,0.315500777375088,0.4276110450326431,108.71641643165776,79.3872091124291,3,4,8,11,9,0.9343148357870891,4,0.005406891495601001,0.073332509979926,"[218, 228, 238]",69097.00738031566,500px_cc0/medium/130002959_Extreme_biker.jpg,13425.548392676817,228.0,0.11589858768537101,3.5428571428571427,0.28119114,0.43246678,18.98886489868164,0.06177509243773101,35,4,0.2863421,2.195779025271349e-08,13.257970833333331,0.303147328563454,0.9999951720237731,1.2448212048052414,10839.359143294352,0.44159609692122404,0.2517421668589,15,0.06037460880286501,0.23817958647786502
500px_cc0/medium/260395273_cyanus_segetum.jpg,5.328347101807594,5.011539133360202,21352.340454687335,0.5810886179652991,0.5322671866686606,131.26998028742577,92.12220082689348,0,5,5,4,1,0.661788617886178,2,0.006990131578947001,0.083314282325759,"[22, 32, 15]",61301.75067961285,500px_cc0/medium/260395273_cyanus_segetum.jpg,16573.071942982457,23.0,7.5244162280701765,3.066666666666667,0.032790188,0.2698693,21.004056930541992,0.16049639811662703,15,26,0.69734055,1.1529191397130491e-05,41.18944967032533,0.160664758221385,0.9967260360717771,0.9611501047232548,17426.86316579624,5.330584493354296,0.7720576470588221,2,0.021192105263157002,0.144024303288275
500px_cc0/medium/234985111_Budapest_at_night.jpg,4.280657086521387,5.046618417938589,114567.99778881647,0.264527981601903,0.5660688952442121,134.87528485482082,92.57998935594236,5,5,6,5,3,0.952279505752023,3,0.00439453125,0.06614544084888001,"[20, 20, 25]",52820.57139717543,500px_cc0/medium/234985111_Budapest_at_night.jpg,29488.301160487732,21.666666666666668,4.858223157051282,2.833333333333333,0.14522102,0.20607814,17.514480590820312,1.038059237396882,24,20,0.6487009,0.209464251995086,34.09995234375,0.423804168366041,2.062033672700636e-06,1.3405601251996726,19611.442085540282,3.6472790091978293,0.7817015686274511,75,0.026722219837454,0.16127040275392202
500px_cc0/medium/107515765_Tomato_blossom.jpg,4.50590406358242,4.598676276109472,11136.637259246903,0.543708167946886,0.472639510165378,161.35930815213123,81.3929834779345,0,7,6,6,3,0.7142857142857141,2,0.006185850439882,0.078406541144333,"[251, 253, 247]",52449.68849782032,500px_cc0/medium/107515765_Tomato_blossom.jpg,17282.574578502787,250.33333333333334,2.523032728018878,3.227272727272727,0.19143283,0.58380663,20.807966232299805,0.25537666281645405,22,19,0.22476056,1.570242886828055e-07,17.43206015625,0.16397617764178102,4.6777728357483284e-07,1.0660035817780522,18236.857661508682,3.381600058376617,0.13115703966643502,2,0.020432212760621002,0.14147345136924502
500px_cc0/medium/227480157_center_parcs-de_kempervennen.jpg,5.109801270067692,4.653668767394265,20748.808701117774,0.251791928887168,0.4644981995994861,141.09509380740343,88.1761576751728,2,3,9,3,0,0.951219512195121,5,0.013081868489583,0.11362540739818901,"[92, 99, 95]",50615.78224202917,500px_cc0/medium/227480157_center_parcs-de_kempervennen.jpg,32842.1267153422,95.33333333333333,0.7198473612467441,2.764705882352941,0.22720532,0.31268108,17.903791427612305,2.032954376143945,17,7,0.46011364,2.1045439696498737e-11,12.467110136909227,0.25534476498382,0.9088417291641231,0.903424856082804,18725.241486984472,1.574575526638047,0.506762392156862,4,0.042256673177083,0.20117417018367
500px_cc0/medium/210415495_make_a_cold_wish.jpg,4.944237574934959,4.530425348581048,45552.30854025453,0.253364485290737,0.5317510976173699,157.34809024579377,97.32239599222873,6,4,5,1,0,0.9329608938547481,3,0.002499187256176,0.049929363296915004,"[5, 5, 10]",42651.71268278935,500px_cc0/medium/210415495_make_a_cold_wish.jpg,32244.016242791673,6.666666666666667,0.0,2.0625,0.43291527,0.13913597,16.45587921142578,4.250263103746818,16,1,0.42794883,0.000272065401077,26.612726398273274,0.32112711824221,0.087230294942855,0.9979144919948468,18519.04445501799,0.0,0.9333333333333331,2,0.008167123305336001,0.09000234109317401
500px_cc0/medium/130002717_Shoes.jpg,5.062705688178539,4.90232068237674,15775.039782744427,0.24246773266050303,0.4061524924330095,165.53097258270697,84.65127234910784,2,8,11,4,2,0.9038461538461531,2,0.022674999999999997,0.148865188593572,"[216, 214, 208]",60261.77445046533,500px_cc0/medium/130002717_Shoes.jpg,23002.567789162862,212.66666666666666,0.753011871553236,2.851851851851852,0.0079136975,0.95433617,19.988048553466797,8.0697848833454e-15,27,10,0.03775025,0.050052821636199,14.035707369887056,0.194440625701179,0.9999977350234981,1.0267088458424103,19462.475469924626,1.900451841297611,0.49021444538562003,22,0.050238965820066005,0.21843766189326602
500px_cc0/medium/199240065_MM00A-1602_RSC_LEX_ROA_H2O_D3200.jpg,4.532979279756546,5.508442703757282,5087.165371186668,0.246468470993032,0.4616386996001833,0.0,87.44561604287551,2,6,9,6,4,0.679999999999999,2,0.011756569847856,0.10778846372997701,"[4, 4, 4]",52820.68469592179,500px_cc0/medium/199240065_MM00A-1602_RSC_LEX_ROA_H2O_D3200.jpg,26988.896005276398,4.0,2.220395069646051,3.1481481481481484,0.29425102,0.366305,18.757326126098633,1.4014627027861901,27,6,0.33944395,0.9999996423721311,0.0,0.17696054680651102,0.007908284664154,1.166971877049041,19968.16176719291,1.356987695051827,0.584313725490196,19,0.029465175259747,0.16910641237593502
500px_cc0/medium/130002307_IPhone.jpg,5.215591058135033,4.867893609742168,5369.2233557178615,0.551633918010483,0.5362073883541423,129.84500704041633,93.93238853931815,12,6,1,3,1,0.7176470588235291,2,0.0037802419354830002,0.061367350491878005,"[203, 198, 201]",50115.065993051496,500px_cc0/medium/130002307_IPhone.jpg,23934.52981260084,200.66666666666666,3.331127008908138,1.9130434782608696,0.5178248,0.2795606,20.79715919494629,0.18532527731318502,23,15,0.20261458,1.427713225421456e-10,15.102536979166667,0.10328903465425501,0.9999922513961791,1.2399795994751788,15900.756681557821,2.232059348123431,0.7582388235294111,10,0.02519100361017,0.15670487212363102
500px_cc0/medium/139933905_Tall-PicLiberum_com_0014.jpg,5.159222774207592,6.22168592784169,177910.98424506554,0.28469463189133004,0.3695752573885897,131.49997936077153,94.49034639292726,0,1,3,10,8,0.9403747870528101,4,0.00789256954612,0.08848885179546401,"[120, 66, 20]",66873.5506181979,500px_cc0/medium/139933905_Tall-PicLiberum_com_0014.jpg,22322.409008531,68.66666666666667,0.7020495214315431,4.136363636363637,0.11783455,0.5076088,17.10124397277832,1.485254837269872,22,10,0.3745566,0.00029167532920800003,54.12764701894193,0.5152850412063661,2.719970471076749e-09,0.833549755446665,13569.10009941032,1.328401444549254,0.873152156862745,2,0.011199542238868002,0.10523360913941801
500px_cc0/medium/287692485_.jpg,4.327437486499548,4.009321764389142,100888.68942392827,0.40654146830410703,0.5249581932400535,127.14036096779896,97.80873291826849,7,5,4,2,0,0.612937433722163,2,0.074399834437086,0.26242046237445005,"[78, 74, 73]",69037.45443955484,500px_cc0/medium/287692485_.jpg,38170.874716101695,75.0,4.253029237288135,2.055555555555556,0.27976668,0.40930238,18.701690673828125,0.872533376086394,18,14,0.310931,4.183808789866294e-13,24.01828355457227,0.33224696215119104,3.653758610770718e-13,1.055641551364534,13893.984737924973,4.643957566886619,0.755776470588235,17,0.265845762711864,0.44178251794294804
500px_cc0/medium/258824101_Phacelia_tanacetifolia.jpg,5.073733851313591,5.258604276037659,8000.7867944679465,0.5317947237315911,0.3534120825082625,163.3641786526475,85.22124870533878,0,3,9,11,5,0.644171779141104,2,0.013907701238390002,0.11710797190906201,"[140, 151, 119]",56553.22538443373,500px_cc0/medium/258824101_Phacelia_tanacetifolia.jpg,24839.847318421052,136.66666666666666,3.580059210526316,3.642857142857143,0.12076003,0.38581258,20.931188583374023,0.25537666281645804,28,11,0.4934274,0.00012347102165200001,27.319176405559066,0.137991635122081,0.9896408319473261,0.9114207758701962,20480.519593141216,3.528273171884722,0.68628,41,0.143131140350877,0.350206534794447
500px_cc0/medium/131139407_Free_Stock_Photos.jpg,5.125225812196732,5.645810562429233,3165.7302010330222,0.393308575132138,0.3535322157407041,120.5220692433036,91.42578750080716,0,0,3,8,8,0.800925925925925,2,0.009691165689149002,0.097965539843023,"[65, 53, 55]",48841.96534078447,500px_cc0/medium/131139407_Free_Stock_Photos.jpg,18848.50727529725,57.666666666666664,0.607275297247859,4.2631578947368425,0.2287164,0.3850141,20.276334762573242,0.147784852964638,19,2,0.3862695,8.115701036551236e-13,40.46943287808128,0.12153583690128202,0.00029084086418100003,0.7334928056269079,20369.684739942317,0.48835643806586904,0.337798039215686,4,0.12740833125467702,0.33342982527298803
500px_cc0/medium/242215175_Guy_enjoying_sunset.jpg,5.859476160258055,5.429890361687285,16301.512844865281,0.474245753213802,0.5661152045829971,111.31764198733201,87.3393029209594,2,7,4,5,2,0.87075928917609,2,0.005343967013888001,0.072906851738662,"[41, 44, 40]",68187.1800935017,500px_cc0/medium/242215175_Guy_enjoying_sunset.jpg,20545.368171257218,41.666666666666664,2.855519435806308,2.9,0.16044897,0.322774,20.960956573486328,0.32099279623325905,20,19,0.51677704,1.0,26.41991110368599,0.178537892612003,0.022934496402740003,1.2096106376585989,24104.30877996428,3.797722139312358,0.8125086274509801,2,0.010056308307418,0.099775643173294
500px_cc0/medium/258577687_blossom.jpg,4.368019528687,4.86486188445997,1327.7160657759,0.7333495792646471,0.4507042915991985,130.5438344170346,82.00307643425893,5,7,9,6,2,0.7428571428571421,2,0.006990131578947001,0.083314282325759,"[123, 148, 90]",53373.04728344291,500px_cc0/medium/258577687_blossom.jpg,22189.872015789475,120.33333333333333,0.212640789473684,2.7586206896551726,0.22190535,0.43413508,20.56314468383789,0.284046582992099,29,6,0.3439596,2.462787751511541e-09,37.00552476508212,0.07029767868994401,0.508327305316925,1.1848801149059374,16803.903268965114,0.8407166637382031,0.62899562745098,2,0.012782456140350002,0.11233461156460602
500px_cc0/medium/268021827_Decksteiner_Weiher.jpg,4.186937287449837,5.408723604606507,315401.7482186113,0.22482664124803803,0.3531870473466934,154.0398402949499,84.1187897000643,2,8,11,5,0,0.9889584100110411,2,0.0034383138020830004,0.058536243476001004,"[6, 6, 4]",69842.07487068766,500px_cc0/medium/268021827_Decksteiner_Weiher.jpg,34188.71458260218,5.333333333333333,2.857941468556722,2.730769230769231,0.11100937,0.27563572,16.25753402709961,2.490803113512051,26,10,0.61335486,0.9664081335067741,36.259365622655665,0.5367161321974351,3.400641435291618e-05,0.8744228866031495,15237.020194973215,2.100309827338863,0.5108882521983851,37,0.055815617243448,0.229565315575284
500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg,4.875354461371899,5.70519695319399,693674.6725394053,0.20416975481062702,0.4755746603069033,161.12314466562924,87.58132627569638,2,7,8,4,2,0.995358336427775,2,0.0017102816153020002,0.041320171249635,"[176, 191, 199]",62936.446230587666,500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg,25372.601404958677,188.66666666666666,3.2786649847759888,2.869565217391304,0.048498247,0.78862256,18.83686065673828,0.09266263865660401,23,23,0.16287917,0.9999998807907101,14.541475606600738,0.6645551937601071,0.021079778671264003,1.099766414293465,17086.128711074583,4.85416713821528,0.912394117647058,2,0.006744149630274,0.081845379075661
