base_img,factor,pref_upscaler,pref_mos
IMG_8098,x4,BSRGAN,3.4615384615384617
IMG_8736,x2,BSRGAN,3.8421052631578947
IMG_8736,x4,BSRGAN,3.75
IMG_8740,x2,Real-ESRGAN,3.6
IMG_8740,x4,Real-ESRGAN,2.7857142857142856
IMG_8774,x2,BSRGAN,4.266666666666667
IMG_8774,x4,Real-ESRGAN,3.5294117647058822
IMG_8868,x2,BSRGAN,3.888888888888889
IMG_8868,x4,BSRGAN,4.363636363636363
IMG_8886,x2,Real-ESRGAN,3.8
IMG_8886,x4,Real-ESRGAN,2.909090909090909
IMG_8890,x2,Real-ESRGAN,3.8125
IMG_8890,x4,BSRGAN,3.0
IMG_8917,x2,BSRGAN,3.6
IMG_8917,x4,Real-ESRGAN,3.2777777777777777
IMG_8918,x2,BSRGAN,3.642857142857143
IMG_8918,x4,KXNet,2.9411764705882355
IMG_8948,x2,Real-ESRGAN,3.7142857142857144
IMG_8948,x4,BSRGAN,3.35
IMG_8968,x2,Real-ESRGAN,3.857142857142857
IMG_8968,x4,BSRGAN,3.2
IMG_9065,x2,Real-ESRGAN,3.8181818181818183
IMG_9065,x4,BSRGAN,3.2
IMG_9320,x2,BSRGAN,3.5
IMG_9320,x4,Real-ESRGAN,3.375
IMG_9326,x2,Real-ESRGAN,4.0
IMG_9326,x4,BSRGAN,4.0588235294117645
IMG_9401,x2,BSRGAN,3.923076923076923
IMG_9401,x4,Real-ESRGAN,3.25
IMG_9671,x2,Real-ESRGAN,4.25
IMG_9671,x4,Real-ESRGAN,3.6153846153846154
MG_9035,x2,Real-ESRGAN,3.5
MG_9035,x4,Real-ESRGAN,2.357142857142857
MG_9163,x2,Real-ESRGAN,4.5
MG_9163,x4,Real-ESRGAN,3.3636363636363638
MG_9166,x2,Real-ESRGAN,3.75
MG_9166,x4,Real-ESRGAN,3.6363636363636362
MG_9180,x2,Real-ESRGAN,4.117647058823529
MG_9180,x4,BSRGAN,3.6666666666666665
MG_9215,x2,BSRGAN,3.0526315789473686
MG_9215,x4,Real-ESRGAN,2.8947368421052633
OUT_8905,x2,BSRGAN,3.4166666666666665
OUT_8905,x4,Real-ESRGAN,3.05
blume,x2,Real-ESRGAN,4.428571428571429
blume,x4,Real-ESRGAN,3.923076923076923
